category,error_code_number,error_code_name,message,cause,recommendation,resolution
Azure Databricks,3200,,Error 403.,The Databricks access token has expired.,"By default, the Azure Databricks access token is valid for 90 days. Create a new token and update the linked service.",
Azure Databricks,3201,,Missing required field: settings.task.notebook_task.notebook_path.,Bad authoring: Notebook path not specified correctly.,Specify the notebook path in the Databricks activity.,
Azure Databricks,3201,,Cluster... does not exist.,Authoring error: Databricks cluster does not exist or has been deleted.,Verify that the Databricks cluster exists.,
Azure Databricks,3201,,Invalid Python file URI... Please visit Databricks user guide for supported URI schemes.,Bad authoring.,"Specify either absolute paths for workspace-addressing schemes, or dbfs:/folder/subfolder/foo.py for files stored in the Databricks File System (DFS).",
Azure Databricks,3201,,{0} LinkedService should have domain and accessToken as required properties.,Bad authoring.,Verify the linked service definition.,
Azure Databricks,3201,,{0} LinkedService should specify either existing cluster ID or new cluster information for creation.,Bad authoring.,Verify the linked service definition.,
Azure Databricks,3201,,"Node type Standard_D16S_v3 is not supported. Supported node types: Standard_DS3_v2, Standard_DS4_v2, Standard_DS5_v2, Standard_D8s_v3, Standard_D16s_v3, Standard_D32s_v3, Standard_D64s_v3, Standard_D3_v2, Standard_D8_v3, Standard_D16_v3, Standard_D32_v3, Standard_D64_v3, Standard_D12_v2, Standard_D13_v2, Standard_D14_v2, Standard_D15_v2, Standard_DS12_v2, Standard_DS13_v2, Standard_DS14_v2, Standard_DS15_v2, Standard_E8s_v3, Standard_E16s_v3, Standard_E32s_v3, Standard_E64s_v3, Standard_L4s, Standard_L8s, Standard_L16s, Standard_L32s, Standard_F4s, Standard_F8s, Standard_F16s, Standard_H16, Standard_F4s_v2, Standard_F8s_v2, Standard_F16s_v2, Standard_F32s_v2, Standard_F64s_v2, Standard_F72s_v2, Standard_NC12, Standard_NC24, Standard_NC6s_v3, Standard_NC12s_v3, Standard_NC24s_v3, Standard_L8s_v2, Standard_L16s_v2, Standard_L32s_v2, Standard_L64s_v2, Standard_L80s_v2.",Bad authoring.,Refer to the error message.,
Azure Databricks,3202,,"There were already 1000 jobs created in past 3600 seconds, exceeding rate limit: 1000 job creations per 3600 seconds.",Too many Databricks runs in an hour.,"Check all pipelines that use this Databricks workspace for their job creation rate. If pipelines launched too many Databricks runs in aggregate, migrate some pipelines to a new workspace.",
Azure Databricks,3202,,"Could not parse request object: Expected 'key' and 'value' to be set for JSON map field base_parameters, got 'key: ""...""' instead.",Authoring error: No value provided for the parameter.,Inspect the pipeline JSON and ensure all parameters in the baseParameters notebook specify a nonempty value.,
Azure Databricks,3202,,"User: 'SimpleUserContext{userId=..., name=user@company.com, orgId=...}' is not authorized to access cluster.",The user who generated the access token isn't allowed to access the Databricks cluster specified in the linked service.,Ensure the user has the required permissions in the workspace.,
Azure Databricks,3202,,Job is not fully initialized yet. Please retry later.,The job hasn't initialized.,Wait and try again later.,
Azure Databricks,3203,,"The cluster is in Terminated state, not available to receive jobs. Please fix the cluster or retry later.","The cluster was terminated. For interactive clusters, this issue might be a race condition.","To avoid this error, use job clusters.",
Azure Databricks,3204,,Job execution failed.,"Error messages indicate various issues, such as an unexpected cluster state or a specific activity. Often, no error message appears.",N/A,
Azure Databricks,3208,,An error occurred while sending the request.,"The network connection to the Databricks service was interrupted. This issue is caused by a recent change, which is by design. After the change, if the result is a number that starts with zero, Azure Data Factory will convert the number to the octal value, which is a bug. This number is always 0 or 1, which never caused issues before the change. So to fix the octal conversion, the string output is passed from the Notebook run as is.","If you're using a self-hosted integration runtime, make sure that the network connection is reliable from the integration runtime nodes. If you're using Azure integration runtime, retry usually works. The Boolean run output starts coming as string instead of expected int Symptoms: Your Boolean run output starts coming as string (for example, ""0"" or ""1"" ) instead of expected int (for example, 0 or 1 ). You noticed this change on September 28, 2021 at around 9 AM IST when your pipeline relying on this output started failing. No change was made on the pipeline, and the Boolean output data arrived as expected prior to the failure. Change the if condition to something like if(value==""0"") . Azure Data Lake Analytics The following table applies to U-SQL.",
Azure Data Lake Analytics,2709,,The access token is from the wrong tenant.,Incorrect Microsoft Entra tenant.,Incorrect Microsoft Entra tenant.,
Azure Data Lake Analytics,2709,,We cannot accept your job at this moment. The maximum number of queued jobs for your account is 200.,This error is caused by throttling on Data Lake Analytics.,"Reduce the number of submitted jobs to Data Lake Analytics. Either change triggers and concurrency settings on activities, or increase the limits on Data Lake Analytics.",
Azure Data Lake Analytics,2709,,This job was rejected because it requires 24 AUs. This account's administrator-defined policy prevents a job from using more than 5 AUs.,This error is caused by throttling on Data Lake Analytics.,"Reduce the number of submitted jobs to Data Lake Analytics. Either change triggers and concurrency settings on activities, or increase the limits on Data Lake Analytics.",
Azure Data Lake Analytics,2705,,Forbidden. ACL verification failed. Either the resource does not exist or the user is not authorized to perform the requested operation.<br/> <br/> User is not able to access Data Lake Store. <br/> <br/> User is not authorized to use Data Lake Analytics.,The service principal or certificate doesn't have access to the file in storage.,"Verify that the service principal or certificate that the user provides for Data Lake Analytics jobs has access to both the Data Lake Analytics account, and the default Data Lake Storage instance from the root folder.",
Azure Data Lake Analytics,2711,,Forbidden. ACL verification failed. Either the resource does not exist or the user is not authorized to perform the requested operation.<br/> <br/> User is not able to access Data Lake Store. <br/> <br/> User is not authorized to use Data Lake Analytics.,The service principal or certificate doesn't have access to the file in storage.,"Verify that the service principal or certificate that the user provides for Data Lake Analytics jobs has access to both the Data Lake Analytics account, and the default Data Lake Storage instance from the root folder.",
Azure Data Lake Analytics,2711,,Cannot find the 'Azure Data Lake Store' file or folder.,"The path to the U-SQL file is wrong, or the linked service credentials don't have access.",Verify the path and credentials provided in the linked service.,
Azure Data Lake Analytics,2704,,Forbidden. ACL verification failed. Either the resource does not exist or the user is not authorized to perform the requested operation.<br/> <br/> User is not able to access Data Lake Store. <br/> <br/> User is not authorized to use Data Lake Analytics.,The service principal or certificate doesn't have access to the file in storage.,"Verify that the service principal or certificate that the user provides for Data Lake Analytics jobs has access to both the Data Lake Analytics account, and the default Data Lake Storage instance from the root folder.",
Azure Data Lake Analytics,2707,,Cannot resolve the account of AzureDataLakeAnalytics. Please check 'AccountName' and 'DataLakeAnalyticsUri'.,The Data Lake Analytics account in the linked service is wrong.,Verify that the right account is provided.,
